Start,End,Duration,Number of events,Services involved
2024-04-21 17:52:51,2024-04-21 17:52:51,0:00:00,4,Maps
2024-04-21 17:52:51,2024-04-21 17:52:51,0:00:00,3,Maps
2024-04-21 19:26:03,2024-04-21 19:26:12,0:00:09,3,Search
2024-04-22 12:29:39,2024-04-22 12:31:51,0:02:12,6,Search
2024-04-22 12:29:45,2024-04-22 12:31:51,0:02:06,5,Search
2024-04-22 12:30:33,2024-04-22 12:31:51,0:01:18,4,Search
2024-04-22 12:31:01,2024-04-22 12:31:51,0:00:50,3,Search
2024-04-22 16:13:23,2024-04-22 16:18:07,0:04:44,9,Maps; Search
2024-04-22 16:13:26,2024-04-22 16:18:07,0:04:41,8,Maps; Search
2024-04-22 16:13:58,2024-04-22 16:18:07,0:04:09,7,Maps; Search
2024-04-22 16:14:47,2024-04-22 16:18:07,0:03:20,6,Maps; Search
2024-04-22 16:15:03,2024-04-22 16:18:07,0:03:04,5,Maps; Search
2024-04-22 16:17:05,2024-04-22 16:18:07,0:01:02,4,Maps; Search
2024-04-22 16:17:05,2024-04-22 16:18:07,0:01:02,3,Maps; Search
2024-04-22 16:43:31,2024-04-22 16:47:04,0:03:33,4,Search
2024-04-22 16:43:48,2024-04-22 16:47:04,0:03:16,3,Search
2024-04-22 20:05:37,2024-04-22 20:06:26,0:00:49,6,Hotels; Maps
2024-04-22 20:05:41,2024-04-22 20:06:26,0:00:45,5,Maps
2024-04-22 20:06:26,2024-04-22 20:06:26,0:00:00,4,Maps
2024-04-22 20:06:26,2024-04-22 20:06:26,0:00:00,3,Maps
2024-04-23 10:07:18,2024-04-23 10:07:22,0:00:04,3,Search
2024-04-23 11:12:41,2024-04-23 11:12:44,0:00:03,3,Search
2024-04-23 11:31:57,2024-04-23 11:33:17,0:01:20,3,Hotels; Maps
2024-04-23 12:39:15,2024-04-23 12:43:22,0:04:07,3,YouTube
2024-04-23 12:43:05,2024-04-23 12:45:09,0:02:04,4,YouTube
2024-04-23 12:43:22,2024-04-23 12:45:09,0:01:47,3,YouTube
2024-04-23 14:03:07,2024-04-23 14:03:48,0:00:41,6,Hotels; Maps
2024-04-23 14:03:23,2024-04-23 14:03:48,0:00:25,5,Maps
2024-04-23 14:03:48,2024-04-23 14:03:48,0:00:00,4,Maps
2024-04-23 14:03:48,2024-04-23 14:03:48,0:00:00,3,Maps
2024-04-23 14:13:14,2024-04-23 14:13:48,0:00:34,3,Gmail; YouTube
2024-04-23 14:13:41,2024-04-23 14:18:30,0:04:49,5,Gmail; Search; YouTube
2024-04-23 14:13:48,2024-04-23 14:18:30,0:04:42,4,Gmail; Search; YouTube
2024-04-23 14:18:17,2024-04-23 14:18:30,0:00:13,3,Search; YouTube
2024-04-23 21:12:59,2024-04-23 21:15:55,0:02:56,4,Google Business Profile
2024-04-23 21:13:37,2024-04-23 21:15:55,0:02:18,3,Google Business Profile
2024-04-23 21:15:55,2024-04-23 21:19:57,0:04:02,3,Google Business Profile
2024-04-24 08:00:35,2024-04-24 08:05:33,0:04:58,9,YouTube
2024-04-24 08:01:27,2024-04-24 08:06:25,0:04:58,10,YouTube
2024-04-24 08:02:13,2024-04-24 08:06:44,0:04:31,12,YouTube
2024-04-24 08:02:17,2024-04-24 08:07:14,0:04:57,12,YouTube
2024-04-24 08:02:22,2024-04-24 08:07:14,0:04:52,11,YouTube
2024-04-24 08:03:27,2024-04-24 08:08:18,0:04:51,12,YouTube
2024-04-24 08:05:05,2024-04-24 08:09:44,0:04:39,15,YouTube
2024-04-24 08:05:26,2024-04-24 08:10:16,0:04:50,15,YouTube
2024-04-24 08:05:33,2024-04-24 08:10:33,0:05:00,15,YouTube
2024-04-24 08:05:51,2024-04-24 08:10:33,0:04:42,14,YouTube
2024-04-24 08:06:25,2024-04-24 08:11:12,0:04:47,14,YouTube
2024-04-24 08:06:28,2024-04-24 08:11:12,0:04:44,13,YouTube
2024-04-24 08:06:40,2024-04-24 08:11:12,0:04:32,12,YouTube
2024-04-24 08:06:44,2024-04-24 08:11:12,0:04:28,11,YouTube
2024-04-24 08:07:14,2024-04-24 08:12:03,0:04:49,11,YouTube
2024-04-24 08:08:16,2024-04-24 08:13:01,0:04:45,13,YouTube
2024-04-24 08:08:18,2024-04-24 08:13:01,0:04:43,12,YouTube
2024-04-24 08:08:56,2024-04-24 08:13:31,0:04:35,12,YouTube
2024-04-24 08:08:58,2024-04-24 08:13:31,0:04:33,11,YouTube
2024-04-24 08:09:33,2024-04-24 08:14:29,0:04:56,11,YouTube
2024-04-24 08:09:44,2024-04-24 08:14:29,0:04:45,10,YouTube
2024-04-24 08:10:16,2024-04-24 08:15:15,0:04:59,11,YouTube
2024-04-24 08:10:33,2024-04-24 08:15:15,0:04:42,10,YouTube
2024-04-24 08:11:12,2024-04-24 08:15:15,0:04:03,9,YouTube
2024-04-24 08:12:03,2024-04-24 08:16:54,0:04:51,10,YouTube
2024-04-24 08:12:41,2024-04-24 08:16:54,0:04:13,9,YouTube
2024-04-24 08:12:59,2024-04-24 08:17:57,0:04:58,9,YouTube
2024-04-24 08:13:01,2024-04-24 08:17:57,0:04:56,8,YouTube
2024-04-24 08:13:31,2024-04-24 08:17:57,0:04:26,7,YouTube
2024-04-24 08:14:29,2024-04-24 08:18:48,0:04:19,7,YouTube
2024-04-24 08:14:58,2024-04-24 08:18:48,0:03:50,6,YouTube
2024-04-24 08:15:15,2024-04-24 08:20:12,0:04:57,6,YouTube
2024-04-24 08:16:29,2024-04-24 08:21:05,0:04:36,12,YouTube
2024-04-24 08:16:54,2024-04-24 08:21:33,0:04:39,12,YouTube
2024-04-24 08:17:57,2024-04-24 08:22:39,0:04:42,15,YouTube
2024-04-24 08:18:48,2024-04-24 08:23:36,0:04:48,15,YouTube
2024-04-24 08:20:12,2024-04-24 08:24:25,0:04:13,16,YouTube
2024-04-24 08:20:18,2024-04-24 08:24:25,0:04:07,15,YouTube
2024-04-24 08:20:19,2024-04-24 08:24:25,0:04:06,14,YouTube
2024-04-24 08:20:21,2024-04-24 08:24:25,0:04:04,13,YouTube
2024-04-24 08:20:27,2024-04-24 08:24:25,0:03:58,12,YouTube
2024-04-24 08:20:30,2024-04-24 08:24:25,0:03:55,11,YouTube
2024-04-24 08:20:58,2024-04-24 08:24:25,0:03:27,10,YouTube
2024-04-24 08:21:05,2024-04-24 08:24:25,0:03:20,9,YouTube
2024-04-24 08:21:33,2024-04-24 08:26:26,0:04:53,9,YouTube
2024-04-24 08:22:15,2024-04-24 08:27:03,0:04:48,10,YouTube
2024-04-24 08:22:21,2024-04-24 08:27:03,0:04:42,9,YouTube
2024-04-24 08:22:24,2024-04-24 08:27:03,0:04:39,8,YouTube
2024-04-24 08:22:39,2024-04-24 08:27:26,0:04:47,8,YouTube
2024-04-24 08:23:36,2024-04-24 08:28:21,0:04:45,9,YouTube
2024-04-24 08:24:01,2024-04-24 08:28:56,0:04:55,9,YouTube
2024-04-24 08:24:25,2024-04-24 08:29:16,0:04:51,9,YouTube
2024-04-24 08:26:26,2024-04-24 08:31:23,0:04:57,12,YouTube
2024-04-24 08:26:41,2024-04-24 08:31:23,0:04:42,11,YouTube
2024-04-24 08:27:03,2024-04-24 08:31:47,0:04:44,11,YouTube
2024-04-24 08:27:26,2024-04-24 08:32:26,0:05:00,11,YouTube
2024-04-24 08:27:47,2024-04-24 08:32:26,0:04:39,10,YouTube
2024-04-24 08:28:21,2024-04-24 08:32:58,0:04:37,10,YouTube
2024-04-24 08:28:56,2024-04-24 08:33:26,0:04:30,10,YouTube
2024-04-24 08:29:16,2024-04-24 08:33:26,0:04:10,9,YouTube
2024-04-24 08:29:26,2024-04-24 08:33:26,0:04:00,8,YouTube
